序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2380,300341,麦克奥迪,16.89,-1.57,-0.27,49475.0,84245007.12,1.86,17.21,16.89,17.19,17.16,1.04,0.96,45.48,4.54,8739060575.0,8704574573.0,-0.06,-0.06,-14.31,-3.15
2381,300132,青松股份,8.14,-1.57,-0.13,175394.0,143397000.0,2.54,8.32,8.11,8.26,8.27,0.75,3.45,28.48,2.98,4204968412.0,4135781652.0,0.0,-0.12,33.01,65.11
2382,300401,花园生物,15.04,-1.57,-0.24,189875.0,287594904.83,3.14,15.46,14.98,15.29,15.28,0.9,3.55,26.19,2.59,8173786258.0,8040643921.0,0.07,0.2,6.52,3.37
2383,300588,熙菱信息,28.16,-1.57,-0.45,35653.0,100753620.0,1.99,28.6,28.03,28.59,28.61,0.86,2.02,-100.18,19.68,5391824205.0,4979308365.0,-0.11,-0.07,42.51,80.98
2384,002975,博杰股份,80.11,-1.58,-1.29,41746.0,336869731.83,3.19,82.45,79.85,80.6,81.4,0.64,3.94,91.1,5.72,12841840725.0,8480362888.0,-0.04,-0.09,28.75,164.13
2385,002112,三变科技,13.72,-1.58,-0.22,172357.0,237528329.57,2.37,13.94,13.61,13.91,13.94,0.96,6.58,75.37,4.63,4035481189.0,3595731426.0,0.07,0.07,5.62,23.27
2386,300399,天利科技,25.5,-1.58,-0.41,69455.0,179504132.5,3.55,26.35,25.43,25.7,25.91,1.19,3.52,649.48,9.82,5038800000.0,5038308488.0,-0.04,-0.04,-7.71,4.04
2387,000838,财信发展,3.11,-1.58,-0.05,398080.0,124423560.6,2.22,3.16,3.09,3.13,3.16,0.78,3.78,-137.6,8.34,3422437349.0,3277211809.0,-0.32,-0.32,21.01,12.27
2388,300354,东华测试,44.87,-1.58,-0.72,60388.0,271714126.91,3.01,45.9,44.53,45.6,45.59,1.27,7.43,45.97,7.54,6206427419.0,3648316613.0,0.0,0.13,-12.84,29.64
2389,002067,景兴纸业,5.59,-1.58,-0.09,1464578.0,817078920.84,3.17,5.68,5.5,5.65,5.68,1.24,10.95,151.32,1.24,8244433038.0,7477205538.0,0.0,0.0,-3.79,41.16
2390,002802,洪汇新材,12.42,-1.58,-0.2,21068.0,26528970.65,2.38,12.71,12.41,12.67,12.62,1.08,1.16,55.27,3.58,2264190716.0,2259730508.0,0.08,-0.16,-1.27,5.7
2391,301257,普蕊斯,50.52,-1.58,-0.81,10076.0,50978293.8,2.1,51.09,50.01,50.89,51.33,0.49,1.34,34.26,3.19,3991320980.0,3805111283.0,-0.02,0.06,6.6,88.58
2392,301298,东利机械,15.61,-1.58,-0.25,17456.0,27487183.79,2.52,15.97,15.57,15.91,15.86,1.2,1.61,29.9,2.44,2291548000.0,1689072120.0,0.0,0.13,-5.91,15.72
2393,301603,乔锋智能,74.27,-1.58,-1.19,15780.0,117775171.04,2.68,75.6,73.58,75.23,75.46,1.04,4.18,24.31,3.85,8968845200.0,2802392775.0,0.08,0.01,-4.3,74.26
2394,300964,本川智能,57.38,-1.58,-0.92,46527.0,267498508.32,3.74,58.66,56.48,58.0,58.3,0.78,8.32,100.57,4.33,4435375536.0,3209368635.0,0.03,-0.19,27.71,60.73
2395,002799,环球印务,8.74,-1.58,-0.14,78762.0,69002838.0,1.69,8.86,8.71,8.84,8.88,0.92,2.46,-104.57,2.2,2797149600.0,2797112892.0,-0.11,0.0,9.25,15.3
2396,300837,浙矿股份,33.33,-1.59,-0.54,36517.0,121683471.0,3.81,34.18,32.89,34.18,33.87,0.72,5.3,48.19,2.42,3333058527.0,2296912152.0,0.03,0.09,35.93,67.82
2397,002920,德赛西威,122.7,-1.59,-1.98,123345.0,1521492935.94,2.72,125.49,122.1,124.14,124.68,0.74,2.23,30.72,5.0,73232591192.0,67869764132.0,0.0,0.07,-16.61,12.66
